source_id,source_type,relation,properties,target_id,target_type
CID_5281727,Phytochemical,interacts_with,,51053,Target
CID_5281727,Phytochemical,interacts_with,,5243,Target
CID_5281727,Phytochemical,interacts_with,,5328,Target
CID_5281727,Phytochemical,interacts_with,,55775,Target
CID_5281727,Phytochemical,interacts_with,,5594,Target
CID_5281727,Phytochemical,interacts_with,,5742,Target
CID_5281727,Phytochemical,interacts_with,,5743,Target
CID_5281727,Phytochemical,interacts_with,,5879,Target
CID_5281727,Phytochemical,interacts_with,,613,Target
CID_5281727,Phytochemical,interacts_with,,672,Target
CID_5281727,Phytochemical,interacts_with,,7276,Target
CID_5281727,Phytochemical,interacts_with,,7442,Target
CID_5281727,Phytochemical,interacts_with,,9367,Target
CID_5281727,Phytochemical,interacts_with,,9817,Target
Pterocarpus marsupium,SHD,contains_chemical,part:Wood,CID_134369,Phytochemical
Pterocarpus marsupium,SHD,contains_chemical,part:Wood,CID_133775,Phytochemical
Pterocarpus marsupium,SHD,contains_chemical,part:Wood,CID_185124,Phytochemical
Pterocarpus marsupium,SHD,contains_chemical,part:Wood,CHEMSPIDER_10306372,Phytochemical
Pterocarpus marsupium,SHD,contains_chemical,part:Wood,CID_6437266,Phytochemical
Pterocarpus marsupium,SHD,contains_chemical,part:Wood,CID_44257328,Phytochemical
Commiphora wightii,SHD,contains_chemical,part:Plant exudate,CID_222284,Phytochemical
CID_222284,Phytochemical,interacts_with,,10013,Target
CID_222284,Phytochemical,interacts_with,,10599,Target
CID_222284,Phytochemical,interacts_with,,1565,Target
CID_222284,Phytochemical,interacts_with,,1576,Target
CID_222284,Phytochemical,interacts_with,,1803,Target
CID_222284,Phytochemical,interacts_with,,2147,Target
CID_222284,Phytochemical,interacts_with,,28234,Target
CID_222284,Phytochemical,interacts_with,,2932,Target
CID_222284,Phytochemical,interacts_with,,3417,Target
CID_222284,Phytochemical,interacts_with,,51422,Target
CID_222284,Phytochemical,interacts_with,,5243,Target
CID_222284,Phytochemical,interacts_with,,53632,Target
CID_222284,Phytochemical,interacts_with,,5423,Target
CID_222284,Phytochemical,interacts_with,,5562,Target
CID_222284,Phytochemical,interacts_with,,5563,Target
CID_222284,Phytochemical,interacts_with,,5564,Target
CID_222284,Phytochemical,interacts_with,,5565,Target
CID_222284,Phytochemical,interacts_with,,5571,Target
CID_222284,Phytochemical,interacts_with,,7299,Target
Commiphora wightii,SHD,contains_chemical,part:Plant exudate,CID_5281515,Phytochemical
CID_5281515,Phytochemical,interacts_with,,10013,Target
CID_5281515,Phytochemical,interacts_with,,10599,Target
CID_5281515,Phytochemical,interacts_with,,1269,Target
CID_5281515,Phytochemical,interacts_with,,28234,Target
CID_5281515,Phytochemical,interacts_with,,4297,Target
CID_5281515,Phytochemical,interacts_with,,5465,Target
Commiphora wightii,SHD,contains_chemical,part:Plant exudate,CID_68972,Phytochemical
Commiphora wightii,SHD,contains_chemical,part:Plant exudate,CID_5997,Phytochemical
CID_5997,Phytochemical,interacts_with,,10013,Target
CID_5997,Phytochemical,interacts_with,,10062,Target
CID_5997,Phytochemical,interacts_with,,10599,Target
CID_5997,Phytochemical,interacts_with,,10858,Target
CID_5997,Phytochemical,interacts_with,,1595,Target
CID_5997,Phytochemical,interacts_with,,23762,Target
CID_5997,Phytochemical,interacts_with,,28234,Target
CID_5997,Phytochemical,interacts_with,,2908,Target
CID_5997,Phytochemical,interacts_with,,3417,Target
CID_5997,Phytochemical,interacts_with,,367,Target
CID_5997,Phytochemical,interacts_with,,4000,Target
CID_5997,Phytochemical,interacts_with,,4780,Target
CID_5997,Phytochemical,interacts_with,,5007,Target
CID_5997,Phytochemical,interacts_with,,5243,Target
CID_5997,Phytochemical,interacts_with,,5422,Target
CID_5997,Phytochemical,interacts_with,,5467,Target
CID_5997,Phytochemical,interacts_with,,6097,Target
CID_5997,Phytochemical,interacts_with,,6323,Target
CID_5997,Phytochemical,interacts_with,,6326,Target
CID_5997,Phytochemical,interacts_with,,6328,Target
CID_5997,Phytochemical,interacts_with,,6622,Target
CID_5997,Phytochemical,interacts_with,,6820,Target
CID_5997,Phytochemical,interacts_with,,7155,Target
CID_5997,Phytochemical,interacts_with,,9429,Target
Commiphora wightii,SHD,contains_chemical,part:Plant exudate,CID_5280794,Phytochemical
CID_5280794,Phytochemical,interacts_with,,10013,Target
CID_5280794,Phytochemical,interacts_with,,10599,Target
CID_5280794,Phytochemical,interacts_with,,28234,Target
CID_5280794,Phytochemical,interacts_with,,3363,Target
CID_5280794,Phytochemical,interacts_with,,3417,Target
CID_5280794,Phytochemical,interacts_with,,5423,Target
